"","term","estimate","std.error","statistic","p.value"
"93","patient_gender",0.00750117628787498,0.00865093393905879,0.867094390122126,0.38597650922807
"94","presc_thyroxine",-0.0215949592813382,0.0142700117687287,-1.51331054461086,0.130331754614481
"95","queried_why_on_thyroxine",0.089458412321644,0.0448614776346817,1.99410311559789,0.0462531432998324
"96","presc_anthyroid_meds",-0.011109375859231,0.0362572259921626,-0.306404462978838,0.759323145640001
"97","pregnant",0.000180017775742696,0.0351295559259662,0.00512439656573158,0.995911764583995
"98","thyroid_surgery",0.0172692708844367,0.036288029578212,0.475894422628157,0.634192676915535
"99","radioactive_iodine_therapyI131",-0.0200066746248858,0.0311883414056359,-0.641479274728938,0.521272267356303
"100","query_hypothyroid",0.0141671813319391,0.0178674292005496,0.79290541313595,0.427910885252843
"101","query_hyperthyroid",-0.0260575919558649,0.0173501030824649,-1.50186957576064,0.133261638790157
"102","lithium",-0.0109156698778437,0.0538319371080961,-0.202773120646294,0.839329463561304
"103","goitre",-0.0478566416107269,0.0454063768873605,-1.05396300897217,0.292005374746289
"104","tumor",0.0363478619207166,0.0271968226900986,1.33647457038978,0.181520210583394
"105","hypopituitarism",-0.131112160854835,0.226326450722118,-0.579305513944607,0.562437121263215
"106","psych_condition",0.00441610141562409,0.0189783956707962,0.232690976214578,0.816021111143565
"107","TSH_measured",0.00616493071110924,0.0968728719678407,0.0636393923900164,0.949262635816988
"108","TSH_reading",-0.000245185310879165,0.000382977142781061,-0.640208731776276,0.522097690763503
"109","T3_measured",NA,NA,NA,NA
"110","T3_reading",-0.0119474063990754,0.00799549331625086,-1.49426757380839,0.135236447647375
"111","T4_measured",NA,NA,NA,NA
"112","T4_reading",-6.21187464079727e-05,0.000803342959063706,-0.0773253138116402,0.938371164485529
"113","thyrox_util_rate_T4U_measured",NA,NA,NA,NA
"114","thyrox_util_rate_T4U_reading",0.017608653112981,0.090740741932783,0.194054541961149,0.846149509495286
"115","FTI_measured",NA,NA,NA,NA
"116","FTI_reading100",0.0855814815135635,0.138265717412488,0.618963855358652,0.535998598606193
"117","FTI_reading101",0.0236118935014948,0.139414958834108,0.169364132077039,0.865524430642903
"118","FTI_reading102",0.109319550457565,0.140119532312315,0.780187805750741,0.435356860146859
"119","FTI_reading103",0.12591934056776,0.140444227507446,0.896578968053953,0.370033061847077
"120","FTI_reading104",0.0672106238653856,0.140534204061628,0.478251001698575,0.632514891186397
"121","FTI_reading105",0.0524695718807129,0.141386035167074,0.371108588049098,0.710589233044386
"122","FTI_reading106",0.0173426450092533,0.14190597645237,0.122212224198142,0.902741122286534
"123","FTI_reading107",0.106437878272395,0.142299608215481,0.747984338166404,0.454542494754706
"124","FTI_reading108",0.0786649291505391,0.14281017909157,0.550835589248151,0.581797378216379
"125","FTI_reading109",0.0387398987588835,0.143438816923814,0.270079603204339,0.787122109036513
"126","FTI_reading11",0.0149285743519177,0.169205339896757,0.0882275604364887,0.929703133853769
"127","FTI_reading110",0.0487678904808152,0.143893784582976,0.338915892873005,0.73470258113518
"128","FTI_reading111",0.0667909748886764,0.145139499732224,0.460184684471856,0.64542512641538
"129","FTI_reading112",0.0517767393215007,0.145119242426449,0.356787552469085,0.721282051841748
"130","FTI_reading113",0.063010220169107,0.145782258980966,0.432221455543051,0.665619087526611
"131","FTI_reading114",0.0380463767367038,0.145736629412422,0.261062554349572,0.79406654596512
"132","FTI_reading115",0.0114698729210724,0.147115983467502,0.0779648319015326,0.937862492027245
"133","FTI_reading116",0.0765410077769498,0.148146103784501,0.516658932105899,0.605441615678771
"134","FTI_reading117",0.0913698921698832,0.148694673503133,0.614479927338878,0.538956166314712
"135","FTI_reading118",0.0595912828055561,0.148531774272453,0.401202255190512,0.688306744858135
"136","FTI_reading119",0.123661083427431,0.150127574336765,0.823706663973904,0.410187655563623
