"","term","estimate","std.error","statistic","p.value"
"317","FTI_reading8.9",0.0394688643548873,0.218974442591854,0.180244159490582,0.856976027145355
"318","FTI_reading80",0.0666831858115152,0.132490827697517,0.503304168072343,0.614796375164108
"319","FTI_reading81",0.0474948587494385,0.133105419454892,0.356821374696423,0.721256733127167
"320","FTI_reading82",0.0313167911876801,0.133189537485213,0.235129513766477,0.81412816338473
"321","FTI_reading83",0.120086029896546,0.132550958268815,0.905961235323623,0.365046822623131
"322","FTI_reading84",0.0209643662280733,0.137049494655773,0.1529693070429,0.878435269750684
"323","FTI_reading85",0.00630569223169854,0.135615009043885,0.0464970085254945,0.962917965993553
"324","FTI_reading86",0.0893151664933116,0.134578669067103,0.663665104674038,0.506968078954022
"325","FTI_reading87",0.0156370072416174,0.134407487640738,0.116340298565911,0.907392530016029
"326","FTI_reading88",0.0524573149232053,0.133082990157056,0.394169945094399,0.693490404328315
"327","FTI_reading89",0.0885932307526702,0.135052791800558,0.655989628733496,0.51189334017659
"328","FTI_reading9",-0.0115668214703995,0.218240669811991,-0.0530003022826316,0.9577360540606
"329","FTI_reading9.1",0.108827471186277,0.242743903894943,0.448322159444944,0.653960961826779
"330","FTI_reading90",0.0265412218702793,0.134808328191848,0.196881173635713,0.843937107290041
"331","FTI_reading91",0.00292827779421935,0.135857079977288,0.0215541052016494,0.982805425856157
"332","FTI_reading92",0.028776228975812,0.135180287424291,0.212872967827712,0.831444029231594
"333","FTI_reading93",0.0111350799706938,0.135333472345953,0.0822788315238757,0.934431811480389
"334","FTI_reading94",0.048813167179125,0.135827131180478,0.359377149137202,0.719344412137435
"335","FTI_reading95",0.0317549654791069,0.137741176334613,0.230540832626294,0.81769108121231
"336","FTI_reading96",0.0530243983965353,0.136958424512275,0.387156895133406,0.698674201512151
"337","FTI_reading97",0.0184344126199608,0.137411301553274,0.134154996070784,0.893291199886104
"338","FTI_reading98",0.0616621822109086,0.137901472171315,0.447146656522315,0.65480930558283
"339","FTI_reading99",0.078776625245615,0.138724820594369,0.567862513053504,0.57018116025179
"340","FTI_readingSVHC",NA,NA,NA,NA
"341","ref_srcother",-0.0157189288527206,0.00988809581100606,-1.58968209381876,0.112037482591096
"342","ref_srcSTMW",-0.0411734375170416,0.0256617224994686,-1.60446897194427,0.108741581741163
"343","ref_srcSVHC",-0.0514719282723258,0.0152703250040108,-3.37071596438234,0.000761535388105515
"344","ref_srcSVHD",0.48602290067936,0.0348323258268783,13.9532141234256,1.30023452337516e-42
"345","ref_srcSVI",NA,NA,NA,NA
